ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
2020-06-13 00:00:00,Haryana,India,2021-04-02 15:13:53,6334.0,70.0,2475.0
2020-06-13 00:00:00,Himachal Pradesh,India,2021-04-02 15:13:53,486.0,6.0,297.0
2020-06-13 00:00:00,Jammu and Kashmir,India,2021-04-02 15:13:53,4730.0,53.0,2086.0
2020-06-13 00:00:00,Jharkhand,India,2021-04-02 15:13:53,1617.0,8.0,672.0
2020-06-13 00:00:00,Karnataka,India,2021-04-02 15:13:53,6516.0,79.0,3440.0
2020-06-13 00:00:00,Kerala,India,2021-04-02 15:13:53,2322.0,19.0,1000.0
2020-06-13 00:00:00,Ladakh,India,2021-04-02 15:13:53,239.0,1.0,62.0
2020-06-13 00:00:00,Madhya Pradesh,India,2021-04-02 15:13:53,10443.0,440.0,7201.0
2020-06-13 00:00:00,Maharashtra,India,2021-04-02 15:13:53,101141.0,3717.0,47796.0
2020-06-13 00:00:00,Manipur,India,2021-04-02 15:13:53,385.0,0.0,77.0
2020-06-13 00:00:00,Meghalaya,India,2021-04-02 15:13:53,44.0,1.0,22.0
2020-06-13 00:00:00,Mizoram,India,2021-04-02 15:13:53,104.0,0.0,1.0
2020-06-13 00:00:00,Nagaland,India,2021-04-02 15:13:53,156.0,0.0,49.0
2020-06-13 00:00:00,Odisha,India,2021-04-02 15:13:53,3498.0,10.0,2474.0
2020-06-13 00:00:00,Puducherry,India,2021-04-02 15:13:53,157.0,2.0,67.0
2020-06-13 00:00:00,Punjab,India,2021-04-02 15:13:53,2986.0,63.0,2282.0
2020-06-13 00:00:00,Rajasthan,India,2021-04-02 15:13:53,12068.0,272.0,8898.0
2020-06-13 00:00:00,Sikkim,India,2021-04-02 15:13:53,63.0,0.0,2.0
2020-06-13 00:00:00,Tamil Nadu,India,2021-04-02 15:13:53,40698.0,367.0,22047.0
2020-06-13 00:00:00,Telangana,India,2021-04-02 15:13:53,4484.0,174.0,2278.0
2020-06-13 00:00:00,Tripura,India,2021-04-02 15:13:53,961.0,1.0,278.0
2020-06-13 00:00:00,Unknown,India,2021-04-02 15:13:53,7984.0,0.0,0.0
2020-06-13 00:00:00,Uttar Pradesh,India,2021-04-02 15:13:53,12616.0,365.0,7609.0
2020-06-13 00:00:00,Uttarakhand,India,2021-04-02 15:13:53,1724.0,21.0,947.0
2020-06-13 00:00:00,West Bengal,India,2021-04-02 15:13:53,10244.0,451.0,4206.0
2020-06-14 00:00:00,Andaman and Nicobar Islands,India,2021-04-02 15:13:53,38.0,0.0,33.0
2020-06-14 00:00:00,Andhra Pradesh,India,2021-04-02 15:13:53,5965.0,82.0,3195.0
2020-06-14 00:00:00,Arunachal Pradesh,India,2021-04-02 15:13:53,87.0,0.0,4.0
2020-06-14 00:00:00,Assam,India,2021-04-02 15:13:53,3718.0,8.0,1584.0
2020-06-14 00:00:00,Bihar,India,2021-04-02 15:13:53,6290.0,39.0,3956.0
2020-06-14 00:00:00,Chandigarh,India,2021-04-02 15:13:53,345.0,5.0,286.0
2020-06-14 00:00:00,Chhattisgarh,India,2021-04-02 15:13:53,1512.0,6.0,631.0
